Position (in January),Name,ELO,Date,Age
5,Vachier-Lagrave,2796,2017,26
6,Anand,2786,2017,47
7,Nakamura,2785,2017,29
8,Karjakin,2785,2017,26
9,Aronian,2780,2017,34
10,Giri,2773,2017,22
11,Nepomniachtchi,2767,2017,26
12,Harikrishna,2766,2017,30
13,Mamedyarov,2766,2017,31
14,Ding Liren,2760,2017,24
15,Eljanov,2755,2017,33
16,Ivanchuk,2752,2017,47
17,Adams,2751,2017,45
18,Wojtaszek,2750,2017,29
19,Svidler,2748,2017,40
20,Grischuk,2742,2017,33
1,Carlsen,2844,2016,25
2,Kramnik,2801,2016,40
3,Giri,2798,2016,21
4,Aronian,2792,2016,33
5,Caruana,2787,2016,23
6,Nakamura,2787,2016,28
7,Vachier-Lagrave,2785,2016,25
8,Anand,2784,2016,46
9,Topalov,2780,2016,40
10,So,2773,2016,22
11,Karjakin,2769,2016,25
12,Ding Liren,2766,2016,23
13,Eljanov,2760,2016,32
14,Harikrishna,2755,2016,29
15,Grischuk,2752,2016,32
16,Li Chao,2751,2016,26
17,Svidler,2751,2016,39
18,Yu Yangyi,2747,2016,21
19,Mamedyarov,2747,2016,30
20,Adams,2744,2016,44
1,Carlsen,2862,2015,24
2,Caruana,2820,2015,22
3,Grischuk,2810,2015,31
4,Topalov,2800,2015,39
5,Anand,2797,2015,45
6,Aronian,2797,2015,32
7,Giri,2784,2015,20
8,Kramnik,2783,2015,39
9,Nakamura,2776,2015,27
10,So,2762,2015,21
11,Karjakin,2760,2015,24
12,Mamedyarov,2759,2015,29
13,Vachier-Lagrave,2757,2015,24
14,Gelfand,2747,2015,46
15,Wojtaszek,2744,2015,27
16,Svidler,2739,2015,38
17,Adams,2738,2015,43
18,Andreikin,2737,2015,24
19,Vitiugov,2735,2015,27
20,Radjabov,2734,2015,27
1,Carlsen,2872,2014,23
2,Aronian,2812,2014,31
3,Nakamura,2789,2014,26
4,Kramnik,2787,2014,38
5,Topalov,2785,2014,38
6,Caruana,2782,2014,21
7,Grischuk,2777,2014,30
8,Gelfand,2777,2014,45
9,Anand,2773,2014,44
10,Karjakin,2759,2014,23
11,Svidler,2758,2014,37
12,Mamedyarov,2757,2014,28
13,Adams,2754,2014,42
14,Dominguez Perez,2754,2014,30
15,Vachier-Lagrave,2745,2014,23
16,Ivanchuk,2739,2014,44
17,Bacrot,2738,2014,30
18,Vitiugov,2737,2014,26
19,Giri,2734,2014,19
20,Wang Hao,2734,2014,24
1,Carlsen,2861,2013,22
2,Kramnik,2810,2013,37
3,Aronian,2802,2013,30
4,Radjabov,2793,2013,25
5,Caruana,2781,2013,20
6,Karjakin,2780,2013,22
7,Anand,2772,2013,43
8,Topalov,2771,2013,37
9,Nakamura,2769,2013,25
10,Mamedyarov,2766,2013,27
11,Grischuk,2764,2013,29
12,Morozevich,2758,2013,35
13,Ivanchuk,2758,2013,43
14,Wang Hao,2752,2013,23
15,Svidler,2747,2013,36
16,Gelfand,2740,2013,44
17,Kamsky,2740,2013,38
18,Gashimov,2737,2013,26
19,Leko,2735,2013,33
20,Jakovenko,2734,2013,29
1,Carlsen,2835,2012,21
2,Aronian,2805,2012,29
3,Kramnik,2801,2012,36
4,Anand,2799,2012,42
5,Radjabov,2773,2012,24
6,Topalov,2770,2012,36
7,Karjakin,2769,2012,21
8,Ivanchuk,2766,2012,42
9,Morozevich,2763,2012,34
10,Gashimov,2761,2012,25
11,Grischuk,2761,2012,28
12,Nakamura,2759,2012,24
13,Svidler,2749,2012,35
14,Mamedyarov,2747,2012,26
15,Tomashevsky,2740,2012,24
16,Gelfand,2739,2012,43
17,Caruana,2736,2012,19
18,Nepomniachtchi,2735,2012,21
19,Wang Hao,2733,2012,22
20,Kamsky,2732,2012,37
1,Carlsen,2814,2011,20
2,Anand,2810,2011,41
3,Aronian,2805,2011,28
4,Kramnik,2784,2011,35
5,Karjakin,2776,2011,20
6,Topalov,2775,2011,35
7,Grischuk,2773,2011,27
8,Mamedyarov,2772,2011,25
9,Ivanchuk,2764,2011,41
10,Nakamura,2751,2011,23
11,Ponomariov,2744,2011,27
12,Radjabov,2744,2011,23
13,Gashimov,2736,2011,24
14,Wang Yue,2734,2011,23
15,Nepomniachtchi,2733,2011,20
16,Gelfand,2733,2011,42
17,Wang Hao,2731,2011,21
18,Svidler,2730,2011,34
19,Kamsky,2730,2011,36
20,Wojtaszek,2726,2011,23
1,Carlsen,2810,2010,19
2,Topalov,2805,2010,34
3,Anand,2790,2010,40
4,Kramnik,2788,2010,34
5,Aronian,2781,2010,27
6,Gelfand,2761,2010,41
7,Gashimov,2759,2010,23
8,Ivanchuk,2749,2010,40
9,Wang Yue,2749,2010,22
10,Svidler,2744,2010,33
11,Mamedyarov,2741,2010,24
12,Leko,2739,2010,30
13,Ponomariov,2737,2010,26
14,Eljanov,2736,2010,26
15,Grischuk,2736,2010,26
16,Radjabov,2733,2010,22
17,Morozevich,2732,2010,32
18,Vachier-Lagrave,2730,2010,19
19,Jakovenko,2730,2010,26
20,Shirov,2723,2010,37
1,Topalov,2796,2009,33
2,Anand,2791,2009,39
3,Ivanchuk,2779,2009,39
4,Carlsen,2776,2009,18
5,Morozevich,2771,2009,31
6,Radjabov,2761,2009,21
7,Jakovenko,2760,2009,25
8,Kramnik,2759,2009,33
9,Leko,2751,2009,29
10,Movsesian S,2751,2009,30
11,Aronian,2750,2009,26
12,Shirov,2745,2009,36
13,Wang Yue,2739,2009,21
14,Grischuk,2733,2009,25
15,Gelfand,2733,2009,40
16,Ponomariov,2726,2009,25
17,Kamsky,2725,2009,34
18,Mamedyarov,2724,2009,23
19,Gashimov,2723,2009,22
20,Svidler,2723,2009,32
1,Kramnik,2799,2008,32
2,Anand,2799,2008,38
3,Topalov,2780,2008,32
4,Morozevich,2765,2008,30
5,Svidler,2763,2008,31
6,Mamedyarov,2760,2008,22
7,Shirov,2755,2008,35
8,Leko,2753,2008,28
9,Ivanchuk,2751,2008,38
10,Aronian,2739,2008,25
11,Gelfand,2737,2008,39
12,Radjabov,2735,2008,20
13,Carlsen,2733,2008,17
14,Karjakin,2732,2008,17
15,Kamsky,2726,2008,33
16,Adams,2726,2008,36
17,Jakovenko,2720,2008,24
18,Ponomariov,2719,2008,24
19,Cheparinov,2713,2008,21
20,Alekseev,2711,2008,22
1,Topalov,2783,2007,31
2,Anand,2779,2007,37
3,Kramnik,2766,2007,31
4,Mamedyarov,2754,2007,21
5,Ivanchuk,2750,2007,37
6,Leko,2749,2007,27
7,Aronian,2744,2007,24
8,Morozevich,2741,2007,29
9,Adams,2735,2007,35
10,Gelfand,2733,2007,38
11,Radjabov,2729,2007,19
12,Svidler,2728,2007,30
13,Polgar J,2727,2007,30
14,Ponomariov,2723,2007,23
15,Navara,2719,2007,21
16,Grischuk,2717,2007,23
17,Shirov,2715,2007,34
18,Bacrot,2705,2007,23
19,Kamsky,2705,2007,32
20,Akopian,2700,2007,35
1,Kasparov,2812,2006,42
2,Topalov,2801,2006,30
3,Anand,2792,2006,36
4,Svidler,2765,2006,29
5,Aronian,2752,2006,23
6,Kramnik,2741,2006,30
7,Leko,2740,2006,26
8,Ivanchuk,2729,2006,36
9,Gelfand,2723,2006,37
10,Ponomariov,2723,2006,22
11,Morozevich,2721,2006,28
12,Grischuk,2717,2006,22
13,Bacrot,2717,2006,22
14,Polgar J,2711,2006,29
15,Mamedyarov,2709,2006,20
16,Shirov,2709,2006,33
17,Adams,2707,2006,34
18,Akopian,2704,2006,34
19,Radjabov,2700,2006,18
20,Bareev,2698,2006,39
1,Kasparov,2804,2005,41
2,Anand,2786,2005,35
3,Topalov,2757,2005,29
4,Kramnik,2754,2005,29
5,Leko,2749,2005,25
6,Morozevich,2741,2005,27
7,Adams,2741,2005,33
8,Svidler,2735,2005,28
9,Bacrot,2715,2005,21
10,Shirov,2713,2005,32
11,Ivanchuk,2711,2005,35
12,Grischuk,2710,2005,21
13,Bareev,2709,2005,38
14,Dreev,2704,2005,35
15,Ponomariov,2700,2005,21
16,Gelfand,2696,2005,36
17,Akopian,2693,2005,33
18,Vallejo Pons,2686,2005,22
19,Sokolov Ivan,2685,2005,36
20,Volokitin,2685,2005,18
1,Kasparov,2831,2004,40
2,Kramnik,2777,2004,28
3,Anand,2766,2004,34
4,Svidler,2747,2004,27
5,Shirov,2736,2004,31
6,Topalov,2735,2004,28
7,Morozevich,2732,2004,26
8,Polgar J,2728,2004,27
9,Ponomariov,2722,2004,20
10,Leko,2722,2004,24
11,Adams,2720,2004,32
12,Grischuk,2719,2004,20
13,Ivanchuk,2716,2004,34
14,Bareev,2714,2004,37
15,Gelfand,2709,2004,35
16,Sokolov Ivan,2706,2004,35
17,Short,2702,2004,38
18,Malakhov,2700,2004,23
19,Akopian,2693,2004,32
20,Dreev,2682,2004,34
1,Kasparov,2847,2003,39
2,Kramnik,2809,2003,27
3,Anand,2753,2003,33
4,Topalov,2743,2003,27
5,Leko,2736,2003,23
6,Adams,2734,2003,31
7,Ponomariov,2734,2003,19
8,Bareev,2729,2003,36
9,Shirov,2723,2003,30
10,Grischuk,2712,2003,19
11,Akopian,2703,2003,31
12,Khalifman,2702,2003,36
13,Polgar J,2700,2003,26
14,Gelfand,2700,2003,34
15,Ivanchuk,2699,2003,33
16,Svidler,2693,2003,26
17,Short,2690,2003,37
18,Dreev,2690,2003,33
19,Sokolov Ivan,2688,2003,34
20,Karpov,2688,2003,51
1,Kasparov,2838,2002,38
2,Kramnik,2809,2002,26
3,Anand,2757,2002,32
4,Adams,2742,2002,30
5,Morozevich,2742,2002,24
6,Topalov,2739,2002,26
7,Ponomariov,2727,2002,18
8,Ivanchuk,2717,2002,32
9,Shirov,2715,2002,29
10,Leko,2713,2002,22
11,Gelfand,2708,2002,33
12,Bareev,2707,2002,35
13,Smirin,2702,2002,33
14,Van Wely,2697,2002,29
15,Kasimdzhanov,2695,2002,22
16,Karpov,2693,2002,50
17,Svidler,2688,2002,25
18,Khalifman,2688,2002,35
19,Lautier,2687,2002,28
20,Dreev,2683,2002,32
1,Kasparov,2849,2001,37
2,Anand,2790,2001,31
3,Kramnik,2772,2001,25
4,Adams,2746,2001,29
5,Leko,2745,2001,21
6,Morozevich,2745,2001,23
7,Shirov,2718,2001,28
8,Topalov,2718,2001,25
9,Ivanchuk,2717,2001,31
10,Gelfand,2712,2001,32
11,Bareev,2709,2001,34
12,Van Wely,2700,2001,28
13,Svidler,2695,2001,24
14,Gurevich Mikhail,2694,2001,41
15,Kasimdzhanov,2693,2001,21
16,Khalifman,2690,2001,34
17,Smirin,2686,2001,32
18,Dreev,2685,2001,31
19,Bologan,2684,2001,29
20,Karpov,2679,2001,49
1,Kasparov,2851,2000,36
2,Anand,2769,2000,30
3,Kramnik,2758,2000,24
4,Shirov,2751,2000,27
5,Morozevich,2748,2000,22
6,Leko,2725,2000,20
7,Adams,2715,2000,28
8,Ivanchuk,2709,2000,30
9,Bareev,2709,2000,33
10,Topalov,2702,2000,24
11,Karpov,2696,2000,48
12,Gurevich Mikhail,2694,2000,40
13,Gelfand,2692,2000,31
14,Fedorov,2684,2000,27
15,Short,2683,2000,34
16,Dreev,2680,2000,30
17,Georgiev,2677,2000,34
18,Almasi,2676,2000,23
19,Azmaiparashvili,2675,2000,39
20,Svidler,2672,2000,23
